,0
0,puerto ayora
1,saldanha
2,georgetown
3,khatanga
4,saint george
5,faanui
6,san vicente
7,esperance
8,bambous virieux
9,cabo san lucas
10,hervey bay
11,golkoy
12,butaritari
13,hasaki
14,san cristobal
15,new norfolk
16,kapaa
17,port elizabeth
18,santa cruz
19,buala
20,arroyo
21,port alfred
22,xiongzhou
23,avarua
24,san patricio
25,jamestown
26,tiksi
27,charlestown
28,harda
29,harrisonville
30,malabo
31,abong mbang
32,dikson
33,tiarei
34,ushuaia
35,prince george
36,camopi
37,orlik
38,burnie
39,rikitea
40,marcona
41,mana
42,tuktoyaktuk
43,merauke
44,kamenskoye
45,broken hill
46,yangmei
47,hobart
48,namibe
49,busselton
50,noumea
51,santa barbara
52,cape town
53,mataura
54,kenai
55,yellowknife
56,victoria
57,hilo
58,teya
59,samarai
60,ponta do sol
61,saint-philippe
62,san policarpo
63,bredasdorp
64,loandjili
65,barentsburg
66,dudinka
67,talnakh
68,coquimbo
69,aykhal
70,atuona
71,barrow
72,chokurdakh
73,geraldton
74,tabuk
75,avera
76,east london
77,nemuro
78,bandarbeyla
79,tasiilaq
80,omaruru
81,daxian
82,kruisfontein
83,taolanaro
84,sitka
85,anloga
86,hofn
87,arraial do cabo
88,punta arenas
89,vaini
90,la ciotat
91,narsaq
92,glace bay
93,muros
94,wuwei
95,yirol
96,lebu
97,torbay
98,samusu
99,pevek
100,castro
101,upernavik
102,north myrtle beach
103,norman wells
104,stornoway
105,amderma
106,labuhan
107,tsihombe
108,tecpan
109,hithadhoo
110,nikolskoye
111,mashhad
112,cherskiy
113,shangqiu
114,albany
115,barra do garcas
116,sorland
117,shchelyayur
118,tsaratanana
119,severo-kurilsk
120,kirovskiy
121,belushya guba
122,mys shmidta
123,saskylakh
124,san miguel
125,shaunavon
126,mar del plata
127,bluff
128,worland
129,airai
130,jawa
131,talcahuano
132,manono
133,bengkulu
134,longyearbyen
135,takoradi
136,lingao
137,te anau
138,saint-francois
139,kazalinsk
140,lata
141,marzuq
142,owando
143,tawnat
144,qaanaaq
145,saint-leu
146,vaitupu
147,vao
148,kaitong
149,ahipara
150,muroto
151,kotelnich
152,sinegorye
153,alice town
154,makakilo city
155,akhisar
156,chunhuhub
157,bandundu
158,estelle
159,kamenka
160,igrim
161,pimenta bueno
162,omboue
163,saleaula
164,arlit
165,souillac
166,port hardy
167,attawapiskat
168,quatre cocos
169,ivesti
170,shingu
171,sedelnikovo
172,nara
173,blairmore
174,ashqelon
175,illoqqortoormiut
176,north bend
177,promissao
178,paucartambo
179,saint-paul
180,bethel
181,lochwinnoch
182,ambunti
183,hermanus
184,la ronge
185,lasa
186,asau
187,alta floresta
188,morganton
189,tuatapere
190,belmonte
191,grindavik
192,pangnirtung
193,provideniya
194,ventspils
195,dongsheng
196,harper
197,vilhena
198,antofagasta
199,tumannyy
200,lakes entrance
201,pisco
202,halalo
203,muravlenko
204,cockburn town
205,lorengau
206,tamasane
207,egvekinot
208,codrington
209,tafalla
210,porto novo
211,ribeira grande
212,riyadh
213,meulaboh
214,carnarvon
215,kemijarvi
216,lompoc
217,krasnoselkup
218,batemans bay
219,brewster
220,malanje
221,ilebo
222,viedma
223,seoul
224,trinidad
225,vegueta
226,patacamaya
227,dingle
228,mecca
229,loa janan
230,la union
231,ovre ardal
