City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
puerto ayora,-0.7393,-90.3518,68.56,96,93,10.0,EC,1633666665.0
saldanha,-33.0117,17.9442,57.25,76,59,14.67,ZA,1633666666.0
georgetown,5.4112,100.3354,86.9,80,20,1.01,MY,1633666483.0
khatanga,71.9667,102.5,21.87,95,100,3.94,RU,1633666667.0
saint george,37.1041,-113.5841,72.95,48,1,4.0,US,1633666376.0
faanui,-16.4833,-151.75,78.98,71,12,6.11,PF,1633666668.0
san vicente,-26.6167,-54.1333,58.19,83,39,4.16,AR,1633666668.0
esperance,-33.8667,121.9,60.98,55,87,15.05,AU,1633666668.0
bambous virieux,-20.3428,57.7575,73.22,83,20,3.44,MU,1633666669.0
cabo san lucas,22.8909,-109.9124,86.5,62,0,6.08,MX,1633666614.0
hervey bay,-25.2986,152.8535,81.03,65,0,14.72,AU,1633666670.0
golkoy,40.6875,37.6178,47.61,83,4,3.58,TR,1633666670.0
butaritari,3.0707,172.7902,82.63,68,21,11.86,KI,1633666671.0
hasaki,35.7333,140.8333,86.29,78,65,15.03,JP,1633666671.0
san cristobal,7.7669,-72.225,69.98,95,99,1.86,VE,1633666672.0
new norfolk,-42.7826,147.0587,69.3,52,94,5.01,AU,1633666672.0
kapaa,22.0752,-159.319,82.38,73,75,4.0,US,1633666673.0
port elizabeth,-33.918,25.5701,64.69,59,0,16.11,ZA,1633666673.0
santa cruz,-17.8,-63.1667,71.06,73,33,5.75,BO,1633666586.0
buala,-8.145,159.5921,85.75,70,39,8.19,SB,1633666674.0
arroyo,41.6096,-4.7969,60.19,57,0,3.44,ES,1633666674.0
port alfred,-33.5906,26.891,67.35,69,100,10.27,ZA,1633666675.0
xiongzhou,25.1167,114.3,80.44,65,100,7.96,CN,1633666675.0
avarua,-21.2078,-159.775,77.05,69,78,4.61,CK,1633666676.0
san patricio,28.017,-97.5169,79.83,58,0,6.73,US,1633666676.0
jamestown,42.097,-79.2353,65.84,93,90,5.75,US,1633666677.0
tiksi,71.6872,128.8694,23.92,83,100,19.28,RU,1633666677.0
charlestown,-32.95,151.6667,71.38,69,89,5.01,AU,1633666424.0
harda,22.3333,77.1,83.7,70,5,0.76,IN,1633666678.0
harrisonville,38.6533,-94.3488,66.38,93,1,0.0,US,1633666679.0
malabo,3.75,8.7833,77.83,88,85,0.74,GQ,1633666679.0
abong mbang,3.9833,13.1833,66.96,99,100,2.08,CM,1633666680.0
dikson,73.5069,80.5464,30.85,80,100,14.29,RU,1633666680.0
tiarei,-17.5333,-149.3333,80.62,72,11,1.68,PF,1633666680.0
ushuaia,-54.8,-68.3,47.86,46,75,17.27,AR,1633666681.0
prince george,53.9166,-122.753,38.62,85,1,4.61,CA,1633666681.0
camopi,3.1655,-52.3158,71.53,99,47,2.64,GF,1633666682.0
orlik,52.5178,99.825,31.06,50,79,3.96,RU,1633666683.0
burnie,-41.0667,145.9167,53.94,84,100,15.39,AU,1633666683.0
rikitea,-23.1203,-134.9692,73.78,74,19,9.93,PF,1633666684.0
marcona,,,,,,,,
mana,5.6592,-53.7767,79.43,87,55,10.29,GF,1633666685.0
tuktoyaktuk,69.4541,-133.0374,26.6,93,20,5.75,CA,1633666685.0
merauke,-8.4667,140.3333,81.84,81,94,10.98,ID,1633666686.0
kamenskoye,,,,,,,,
broken hill,-31.95,141.4333,77.49,18,0,13.33,AU,1633666686.0
yangmei,24.1023,112.5618,69.78,81,99,7.47,CN,1633666687.0
hobart,-42.8794,147.3294,67.86,49,75,9.22,AU,1633666408.0
namibe,-15.1961,12.1522,65.07,72,66,7.76,AO,1633666688.0
busselton,-33.65,115.3333,61.09,59,97,11.54,AU,1633666688.0
noumea,-22.2763,166.4572,76.98,59,22,19.86,NC,1633666689.0
santa barbara,34.7333,-120.0343,55.78,85,75,3.44,US,1633666689.0
cape town,-33.9258,18.4232,58.1,63,75,17.27,ZA,1633666690.0
mataura,-46.1927,168.8643,56.48,70,100,6.11,NZ,1633666691.0
kenai,60.5544,-151.2583,46.09,85,40,3.44,US,1633666631.0
yellowknife,62.456,-114.3525,36.41,100,90,5.01,CA,1633666691.0
victoria,22.2855,114.1577,77.32,96,100,1.01,HK,1633666534.0
hilo,19.7297,-155.09,78.53,78,90,6.91,US,1633666692.0
teya,60.3778,92.6267,37.42,98,100,6.04,RU,1633666692.0
samarai,-10.6167,150.6667,81.73,80,86,12.77,PG,1633666693.0
ponta do sol,32.6667,-17.1,69.71,77,90,2.26,PT,1633666693.0
saint-philippe,-21.3585,55.7679,71.15,78,26,9.69,RE,1633666694.0
san policarpo,12.1791,125.5072,76.82,92,100,16.35,PH,1633666694.0
bredasdorp,-34.5322,20.0403,52.75,77,0,4.25,ZA,1633666695.0
loandjili,-4.7561,11.8578,76.33,89,100,6.8,CG,1633666695.0
barentsburg,,,,,,,,
dudinka,69.4058,86.1778,35.22,99,100,11.03,RU,1633666696.0
talnakh,69.4865,88.3972,33.08,100,100,4.88,RU,1633666696.0
coquimbo,-29.9533,-71.3436,55.13,76,90,11.5,CL,1633666636.0
aykhal,66,111.5,25.59,82,97,15.32,RU,1633666697.0
atuona,-9.8,-139.0333,77.95,79,24,16.87,PF,1633666697.0
barrow,71.2906,-156.7887,32.02,80,90,10.36,US,1633666506.0
chokurdakh,70.6333,147.9167,16.27,86,89,6.91,RU,1633666698.0
geraldton,-28.7667,114.6,70.21,56,75,20.71,AU,1633666698.0
tabuk,17.4189,121.4443,83.98,73,99,1.59,PH,1633666699.0
avera,33.194,-82.5271,72.91,95,5,5.41,US,1633666699.0
east london,-33.0153,27.9116,65.79,83,100,7.61,ZA,1633666700.0
nemuro,43.3236,145.575,53.38,77,62,8.12,JP,1633666458.0
bandarbeyla,9.4942,50.8122,80.13,76,8,16.44,SO,1633666700.0
tasiilaq,65.6145,-37.6368,32.16,51,17,7.78,GL,1633666701.0
omaruru,-21.4333,15.9333,61.81,22,0,2.42,NA,1633666701.0
daxian,,,,,,,,
kruisfontein,-34.0033,24.7314,57.88,60,98,8.37,ZA,1633666702.0
taolanaro,,,,,,,,
sitka,57.0531,-135.33,46.29,87,90,8.05,US,1633666703.0
anloga,5.7947,0.8973,79.05,84,78,5.95,GH,1633666703.0
hofn,64.2539,-15.2082,48.96,91,100,25.72,IS,1633666704.0
arraial do cabo,-22.9661,-42.0278,68.79,74,99,16.08,BR,1633666704.0
punta arenas,-53.15,-70.9167,44.71,65,0,12.66,CL,1633666705.0
vaini,-21.2,-175.2,78.96,89,40,4.61,TO,1633666705.0
la ciotat,43.1748,5.6045,64.81,52,0,3.76,FR,1633666706.0
narsaq,60.9167,-46.05,43.02,49,78,7.47,GL,1633666706.0
glace bay,46.1969,-59.957,61.68,90,40,3.0,CA,1633666706.0
muros,42.7762,-9.0603,64.83,74,44,5.61,ES,1633666707.0
wuwei,37.9281,102.6414,63.25,43,82,6.33,CN,1633666707.0
yirol,,,,,,,,
lebu,-37.6167,-73.65,47.52,89,1,7.9,CL,1633666708.0
torbay,47.6666,-52.7314,51.67,76,90,10.36,CA,1633666708.0
samusu,,,,,,,,
pevek,69.7008,170.3133,24.04,82,91,5.86,RU,1633666709.0
castro,-24.7911,-50.0119,53.49,98,100,9.04,BR,1633666709.0
upernavik,72.7868,-56.1549,24.84,48,38,4.16,GL,1633666710.0
north myrtle beach,33.816,-78.68,73.06,92,1,8.05,US,1633666601.0
norman wells,65.282,-126.8329,30.24,93,75,4.61,CA,1633666710.0
stornoway,58.2093,-6.3865,55.92,88,90,14.97,GB,1633666711.0
amderma,,,,,,,,
labuhan,-6.8844,112.2051,90.57,47,0,3.62,ID,1633666711.0
tsihombe,,,,,,,,
tecpan,14.7623,-90.9947,56.52,96,100,4.7,GT,1633666712.0
hithadhoo,-0.6,73.0833,83.37,65,92,8.08,MV,1633666712.0
nikolskoye,59.7035,30.7861,49.39,67,100,6.69,RU,1633666713.0
mashhad,36.297,59.6062,48.34,40,40,4.61,IR,1633666714.0
cherskiy,68.75,161.3,10.29,95,29,0.74,RU,1633666714.0
shangqiu,34.45,115.65,58.5,88,100,7.45,CN,1633666714.0
albany,42.6001,-73.9662,58.37,94,28,1.95,US,1633666515.0
barra do garcas,-15.89,-52.2567,75.78,70,99,3.0,BR,1633666481.0
sorland,67.667,12.6934,44.33,71,100,21.21,NO,1633666716.0
shchelyayur,,,,,,,,
tsaratanana,-16.7833,47.65,73.74,65,81,12.28,MG,1633666716.0
severo-kurilsk,50.6789,156.125,48.58,77,100,20.69,RU,1633666717.0
kirovskiy,45.0917,133.5136,61.41,41,19,11.3,RU,1633666717.0
belushya guba,,,,,,,,
mys shmidta,,,,,,,,
saskylakh,71.9167,114.0833,10.27,90,90,6.87,RU,1633666718.0
san miguel,13.4833,-88.1833,76.66,100,75,2.3,SV,1633666507.0
shaunavon,49.6501,-108.4181,44.38,67,100,5.41,CA,1633666693.0
mar del plata,-38.0023,-57.5575,49.87,84,0,1.01,AR,1633666719.0
bluff,-46.6,168.3333,56.8,89,100,14.34,NZ,1633666720.0
worland,44.0169,-107.9554,62.67,63,90,3.0,US,1633666575.0
airai,-8.9266,125.4092,83.52,27,41,6.22,TL,1633666720.0
jawa,31.8525,35.9393,62.91,42,0,0.0,JO,1633666721.0
talcahuano,-36.7167,-73.1167,53.28,87,90,4.61,CL,1633666721.0
manono,-7.3,27.4167,72.18,69,86,1.74,CD,1633666722.0
bengkulu,-3.8004,102.2655,83.07,70,40,7.4,ID,1633666722.0
longyearbyen,78.2186,15.6401,17.44,86,0,9.22,SJ,1633666723.0
takoradi,4.8845,-1.7554,75.92,91,58,1.32,GH,1633666723.0
lingao,19.9103,109.6859,77.59,92,100,26.02,CN,1633666724.0
te anau,-45.4167,167.7167,48.99,91,100,2.86,NZ,1633666724.0
saint-francois,46.4154,3.9054,46.47,100,0,1.14,FR,1633666725.0
kazalinsk,,,,,,,,
lata,40.1629,-8.3327,59.81,54,12,3.15,PT,1633666725.0
marzuq,14.4,46.4667,75.52,58,36,2.21,YE,1633666726.0
owando,-0.4819,15.8999,70.95,99,76,2.13,CG,1633666726.0
tawnat,,,,,,,,
qaanaaq,77.484,-69.3632,22.3,66,100,6.15,GL,1633666726.0
saint-leu,-21.15,55.2833,70.63,75,13,10.54,RE,1633666727.0
vaitupu,,,,,,,,
vao,-22.6667,167.4833,69.76,64,53,13.73,NC,1633666728.0
kaitong,44.8135,123.15,60.48,42,100,7.36,CN,1633666728.0
ahipara,-35.1667,173.1667,61.59,74,2,9.37,NZ,1633666729.0
muroto,33.2833,134.15,82.44,65,45,8.21,JP,1633666729.0
kotelnich,58.3089,48.348,35.04,87,6,7.56,RU,1633666730.0
sinegorye,62.0788,150.477,22.39,81,29,2.75,RU,1633666730.0
alice town,25.7167,-79.3,83.19,73,79,15.43,BS,1633666730.0
makakilo city,21.3469,-158.0858,80.92,63,20,10.36,US,1633666731.0
akhisar,38.9185,27.8401,58.55,78,57,4.14,TR,1633666732.0
chunhuhub,19.55,-88.6833,73.62,99,100,2.13,MX,1633666732.0
bandundu,-3.3167,17.3667,71.85,94,31,1.3,CD,1633666733.0
estelle,29.8458,-90.1067,77,77,40,0.0,US,1633666733.0
kamenka,51.3223,42.7678,35.91,60,26,5.95,RU,1633666734.0
igrim,63.1906,64.4162,43.12,72,20,14.18,RU,1633666734.0
pimenta bueno,-11.6725,-61.1936,75.87,89,100,4.5,BR,1633666735.0
omboue,-1.5746,9.2618,76.23,87,100,4.74,GA,1633666735.0
saleaula,,,,,,,,
arlit,18.7369,7.3853,79.16,18,4,8.39,NE,1633666736.0
souillac,-20.5167,57.5167,73.36,83,20,3.44,MU,1633666736.0
port hardy,50.6996,-127.4199,48.2,93,90,11.5,CA,1633666737.0
attawapiskat,,,,,,,,
quatre cocos,-20.2078,57.7625,73.09,73,46,9.28,MU,1633666737.0
ivesti,45.6833,27.5167,42.93,53,96,12.3,RO,1633666738.0
shingu,33.7333,135.9833,81.59,61,75,3.94,JP,1633666738.0
sedelnikovo,,,,,,,,
nara,34.6851,135.8049,85.32,50,54,1.92,JP,1633666739.0
blairmore,49.6,-114.4353,40.53,55,2,1.14,CA,1633666739.0
ashqelon,31.6693,34.5715,70.41,66,0,9.42,IL,1633666740.0
illoqqortoormiut,,,,,,,,
north bend,43.4065,-124.2243,48.92,94,1,4.61,US,1633666740.0
promissao,-21.5367,-49.8581,66.9,75,79,12.93,BR,1633666741.0
paucartambo,,,,,,,,
saint-paul,-21.0096,55.2707,71.69,71,7,7.58,RE,1633666742.0
bethel,41.3712,-73.414,61.48,93,20,0.0,US,1633666742.0
lochwinnoch,55.7952,-4.6303,60.87,95,90,6.91,GB,1633666743.0
ambunti,-4.2365,142.8448,93.61,47,34,4.18,PG,1633666743.0
hermanus,-34.4187,19.2345,55.9,78,0,8.46,ZA,1633666744.0
la ronge,55.1001,-105.2842,41.22,60,1,4.61,CA,1633666543.0
lasa,46.6166,10.7002,49.46,86,86,4.83,IT,1633666744.0
asau,46.4333,26.4,36.75,71,100,4.43,RO,1633666745.0
alta floresta,-9.8756,-56.0861,72.39,98,87,2.15,BR,1633666745.0
morganton,35.7454,-81.6848,69.84,97,90,1.99,US,1633666746.0
tuatapere,-46.1333,167.6833,56.82,86,98,1.52,NZ,1633666746.0
belmonte,-15.8631,-38.8828,73.9,89,8,5.48,BR,1633666747.0
grindavik,63.8424,-22.4338,49.95,100,90,28.77,IS,1633666748.0
pangnirtung,66.1451,-65.7125,33.51,85,42,0.72,CA,1633666748.0
provideniya,64.3833,-173.3,35.71,80,90,17.9,RU,1633666749.0
ventspils,57.3894,21.5606,37.33,100,0,1.14,LV,1633666749.0
dongsheng,39.8161,109.9776,51.76,70,100,16.62,CN,1633666750.0
harper,4.375,-7.7169,77.02,89,100,5.68,LR,1633666750.0
vilhena,-12.7406,-60.1458,69.67,89,100,3.6,BR,1633666751.0
antofagasta,-23.65,-70.4,58.28,82,82,5.53,CL,1633666563.0
tumannyy,,,,,,,,
lakes entrance,-37.8811,147.981,71.58,54,93,10.27,AU,1633666752.0
pisco,-13.7,-76.2167,62.65,82,46,12.66,PE,1633666752.0
halalo,,,,,,,,
muravlenko,63.7898,74.523,42.76,83,100,17.47,RU,1633666753.0
cockburn town,21.4612,-71.1419,83.03,75,2,17.27,TC,1633666753.0
lorengau,-2.0226,147.2712,85.5,66,75,11.03,PG,1633666754.0
tamasane,-22.4184,27.4013,63.3,82,100,12.57,BW,1633666754.0
egvekinot,66.3167,-179.1667,23.56,90,99,13.06,RU,1633666755.0
codrington,-38.2667,141.9667,64.54,54,100,14.94,AU,1633666755.0
tafalla,42.5269,-1.6745,55.06,75,6,6.69,ES,1633666756.0
porto novo,6.4965,2.6036,80.42,87,85,2.8,BJ,1633666757.0
ribeira grande,38.5167,-28.7,69.17,73,9,8.1,PT,1633666757.0
riyadh,24.6877,46.7219,77.14,36,0,3.04,SA,1633666758.0
meulaboh,4.1363,96.1285,84.18,66,97,1.45,ID,1633666758.0
carnarvon,-24.8667,113.6333,73.47,49,0,24.16,AU,1633666759.0
kemijarvi,66.7131,27.4306,32.92,93,74,1.19,FI,1633666759.0
lompoc,34.6391,-120.4579,62.56,89,90,4.61,US,1633666760.0
krasnoselkup,65.7,82.4667,41.16,93,100,14.79,RU,1633666760.0
batemans bay,-35.7167,150.1833,75.2,56,67,12.59,AU,1633666761.0
brewster,41.3973,-73.6171,62.74,96,20,0.0,US,1633666624.0
malanje,-9.5402,16.341,65.08,90,33,3.36,AO,1633666761.0
ilebo,-4.3167,20.5833,70.52,91,40,1.68,CD,1633666762.0
viedma,-40.8135,-62.9967,43.61,54,92,2.68,AR,1633666762.0
seoul,37.5683,126.9778,69.37,78,90,2.3,KR,1633666605.0
trinidad,-14.8333,-64.9,79.72,62,19,2.66,BO,1633666763.0
vegueta,-11.0231,-77.6431,61.9,91,94,12.53,PE,1633666763.0
patacamaya,-17.2333,-67.9167,49.01,75,85,3.4,BO,1633666764.0
dingle,10.9995,122.6711,78.76,87,100,5.28,PH,1633666764.0
mecca,21.4267,39.8261,85.33,36,3,3.24,SA,1633666652.0
loa janan,-0.583,117.095,87.24,65,95,5.55,ID,1633666765.0
la union,-5.4,-80.75,65.79,79,67,14.79,PE,1633666766.0
ovre ardal,61.3167,7.8,47.28,97,100,2.8,NO,1633666766.0
beringovskiy,63.05,179.3167,33.28,90,100,9.91,RU,1633666767.0
fairbanks,64.8378,-147.7164,38.1,96,90,4.61,US,1633666567.0
nome,64.5011,-165.4064,37.47,87,90,6.91,US,1633666767.0
naivasha,-0.7167,36.4359,61.11,76,98,1.63,KE,1633666768.0
tamandare,-8.7597,-35.1047,74.91,83,98,5.73,BR,1633666768.0
alofi,-19.0595,-169.9187,80.49,74,47,8.05,NU,1633666769.0
terrace,54.5163,-128.6035,43.43,100,90,9.22,CA,1633666622.0
skjervoy,70.0311,20.9714,39.2,65,100,15.68,NO,1633666769.0
hvolsvollur,63.7533,-20.2243,47.8,81,100,21.36,IS,1633666770.0
mahebourg,-20.4081,57.7,73.26,83,20,3.44,MU,1633666770.0
hamilton,39.1834,-84.5333,70.65,94,75,1.01,US,1633666540.0
conde,-7.2597,-34.9075,76.46,88,75,4.61,BR,1633666771.0
volchansk,59.9378,60.081,42.64,61,4,11.36,RU,1633666771.0
mongar,27.2747,91.2396,74.52,56,24,4.43,BT,1633666772.0
jalu,29.0331,21.5482,70.11,33,0,7.38,LY,1633666772.0
imbituba,-28.24,-48.6703,64.81,82,26,3.87,BR,1633666772.0
zachagansk,,,,,,,,
nizhneyansk,,,,,,,,
mount isa,-20.7333,139.5,100.17,13,0,8.05,AU,1633666773.0
resen,41.0889,21.0122,49.64,93,100,6.44,MK,1633666774.0
guerrero negro,27.9769,-114.0611,70.39,76,97,17.4,MX,1633666561.0
nabire,-3.3667,135.4833,88.99,59,60,6.91,ID,1633666774.0
nanortalik,60.1432,-45.2371,38.26,59,92,4.5,GL,1633666775.0
constitucion,-35.3333,-72.4167,48.92,92,2,8.75,CL,1633666775.0
ancud,-41.8697,-73.8203,45.93,91,1,3.11,CL,1633666776.0
lotung,,,,,,,,
nazarovo,56.0064,90.3914,35.22,98,100,12.84,RU,1633666776.0
dakar,14.6937,-17.4441,79.68,74,18,5.37,SN,1633666500.0
aksha,50.2814,113.2867,40.53,86,100,2.08,RU,1633666777.0
matamoros,25.5333,-103.25,78.12,31,0,9.1,MX,1633666777.0
filingue,14.3521,3.3168,85.17,37,27,5.75,NE,1633666778.0
cheuskiny,,,,,,,,
akdepe,42.0551,59.3788,42.89,34,90,11.92,TM,1633666779.0
petropavlovsk-kamchatskiy,53.0452,158.6483,48.79,34,40,13.42,RU,1633666779.0
tarudant,,,,,,,,
yulara,-25.2406,130.9889,87.64,20,0,9.22,AU,1633666780.0
gladstone,-23.85,151.25,80.78,54,30,14.97,AU,1633666780.0
coron,11.9986,120.2043,86.88,64,83,6.58,PH,1633666780.0
lagoa,39.05,-27.9833,68.11,74,8,8.63,PT,1633666781.0
sorong,-0.8833,131.25,85.82,70,74,6.06,ID,1633666781.0
skara,58.3866,13.4384,49.12,94,100,3.0,SE,1633666782.0
salinopolis,-0.6136,-47.3561,79.74,79,8,10.04,BR,1633666782.0
umm jarr,,,,,,,,
olinda,-8.0089,-34.8553,80.33,74,75,8.05,BR,1633666783.0
hay river,60.8156,-115.7999,33.78,86,75,3.44,CA,1633666783.0
karratha,-20.7377,116.8463,85.62,35,0,11.43,AU,1633666784.0
tonantins,-2.8731,-67.8022,73.9,97,89,2.71,BR,1633666784.0
kodiak,57.79,-152.4072,45.3,86,100,10.0,US,1633666785.0
katsuura,35.1333,140.3,82.51,75,55,11.59,JP,1633666785.0
san jose,37.3394,-121.895,58.3,70,75,4.0,US,1633666542.0
ibirama,-27.0569,-49.5178,56.82,98,100,2.15,BR,1633666785.0
cayeli,41.0923,40.7292,58.95,69,59,4.85,TR,1633666786.0
lolua,,,,,,,,
eenhana,-17.4667,16.3333,73.76,18,100,6.02,NA,1633666787.0
puerto madryn,-42.7692,-65.0385,48.78,79,0,8.93,AR,1633666787.0
san matias,-16.3667,-58.4,78.01,76,19,3.04,BO,1633666787.0
abilene,32.4487,-99.7331,79.5,46,1,10.36,US,1633666771.0
krems,48.4092,15.6142,54.1,97,96,3.38,AT,1633666788.0
maragogi,-9.0122,-35.2225,75.06,82,98,6.64,BR,1633666788.0
hambantota,6.1241,81.1185,83.77,73,99,16.62,LK,1633666789.0
simao,22.7886,100.9748,79.3,59,65,2.48,CN,1633666789.0
ndungu,-4.3667,38.05,70.43,85,39,0.83,TZ,1633666790.0
huangnihe,43.5583,128.0239,61.43,39,24,2.82,CN,1633666790.0
the valley,18.217,-63.0578,84.06,75,26,20.45,AI,1633666791.0
bedele,8.456,36.353,55.38,97,100,1.88,ET,1633666791.0
bournemouth,50.7205,-1.8795,59.83,92,27,1.97,GB,1633666792.0
