City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
nikolskoye,59.7035,30.7861,49.39,73,2,10.16,RU,1633565483.0
provideniya,64.3833,-173.3,41.11,81,75,6.71,RU,1633565483.0
rikitea,-23.1203,-134.9692,74.26,78,99,15.95,PF,1633565483.0
new norfolk,-42.7826,147.0587,56.71,48,73,5.99,AU,1633565484.0
castro,-24.7911,-50.0119,64.33,94,98,1.1,BR,1633565484.0
mahon,39.8885,4.2658,64.96,72,75,9.22,ES,1633565484.0
kaitangata,-46.2817,169.8464,65.07,49,85,3.8,NZ,1633565485.0
airai,-8.9266,125.4092,74.77,34,13,3.06,TL,1633565485.0
sungairaya,0.7,108.9,80.33,82,74,8.21,ID,1633565486.0
bredasdorp,-34.5322,20.0403,61.29,91,41,14.79,ZA,1633565486.0
qaqortoq,60.7167,-46.0333,45.1,54,90,9.98,GL,1633565486.0
graham,47.0529,-122.2943,58.33,74,75,0.0,US,1633565487.0
port blair,11.6667,92.75,80.55,82,100,11.32,IN,1633565487.0
bundaberg,-24.85,152.35,81.21,49,12,3.0,AU,1633565487.0
narsaq,60.9167,-46.05,44.82,53,88,9.08,GL,1633565488.0
carnarvon,-24.8667,113.6333,66.38,49,0,19.89,AU,1633565488.0
maningrida,-12.0667,134.2667,88.2,50,44,6.26,AU,1633565488.0
bosaso,11.2842,49.1816,86.25,69,8,5.77,SO,1633565489.0
namatanai,-3.6667,152.4333,84.38,67,99,1.05,PG,1633565489.0
butaritari,3.0707,172.7902,81.99,69,59,14.54,KI,1633565489.0
cape town,-33.9258,18.4232,64.09,54,0,1.99,ZA,1633565321.0
kualakapuas,-3.0091,114.3876,78.96,87,100,2.15,ID,1633565490.0
mandalgovi,45.7625,106.2708,44.11,48,92,7.18,MN,1633565490.0
ushuaia,-54.8,-68.3,38.86,100,75,34.52,AR,1633565490.0
georgetown,5.4112,100.3354,80.53,89,20,1.01,MY,1633565335.0
bluff,-46.6,168.3333,56.01,70,90,4.16,NZ,1633565491.0
naze,28.3667,129.4833,78.01,67,97,16.8,JP,1633565491.0
hilo,19.7297,-155.09,84.27,70,75,11.5,US,1633565492.0
harper,4.375,-7.7169,77.92,86,66,7.81,LR,1633565359.0
ponta do sol,32.6667,-17.1,72.23,79,88,3.49,PT,1633565492.0
coihaique,-45.5752,-72.0662,48.15,53,75,5.75,CL,1633565493.0
punta arenas,-53.15,-70.9167,44.71,70,20,23.02,CL,1633565474.0
mataura,-46.1927,168.8643,61.92,52,78,2.08,NZ,1633565493.0
mount isa,-20.7333,139.5,92.97,21,27,8.05,AU,1633565493.0
kruisfontein,-34.0033,24.7314,55.89,95,25,7.74,ZA,1633565494.0
avarua,-21.2078,-159.775,78.85,65,20,14.97,CK,1633565494.0
flinders,-34.5833,150.8552,82.06,37,50,7.78,AU,1633565494.0
tucupita,9.0622,-62.051,75.09,98,48,3.67,VE,1633565495.0
dikson,73.5069,80.5464,30.99,77,100,6.46,RU,1633565495.0
sept-iles,50.2001,-66.3821,57.06,54,80,3.0,CA,1633565495.0
